sample_id,image_id,region_index,x,y,width,height,image_path,image_sha256,severity,hallucination_types,reviewer_type,reviewer_id,reviewed_at,annotation_status,note
review_058,bsds_236017,1,256,0,225,256,images/review_058.png,bb30e2e494010ded15745f9c13cb83bc2e7a1bbc1089766a0ca49f0b126b8ace,,,,,,pending,
review_059,bsds_236017,2,0,256,256,65,images/review_059.png,4790923da3ccc4fa1d6edebf437eff621ce0fad4056d5c3499653b52ebd139bc,,,,,,pending,
review_060,bsds_245051,3,256,256,225,65,images/review_060.png,4cc020ec5c237ab25a4af13daa14d44cc7472ace92b9e280f29c5d771f725e7f,,,,,,pending,
review_061,bsds_245051,0,0,0,256,256,images/review_061.png,852ea3a99a0a05b2f64668aa16e3b3420eddc56f51d40b8fcf227d41c111f739,,,,,,pending,
review_062,bsds_246016,0,0,0,256,256,images/review_062.png,bd8b3ce0a0e33aa37f5c39e484c8fead7ab0f0df06878c7e6cc70cd6a5635b4c,,,,,,pending,
review_063,bsds_246016,2,0,256,256,225,images/review_063.png,54e188d3ca1a92fd606ff426393479f7aded43bc83a3a1a334a8e3ddd78c6a06,,,,,,pending,
review_064,bsds_249061,0,0,0,256,256,images/review_064.png,6102322e641c6ab4bd8b8721b760419d065fa5e098a9682ff993b5b8f73fa9bb,,,,,,pending,
review_065,bsds_249061,1,256,0,225,256,images/review_065.png,3123185e1272696f37a6414617d861048599fcba6d491542f3b54c37bd87a35f,,,,,,pending,
review_066,bsds_25098,2,0,256,256,225,images/review_066.png,d3cc18474e9e20c5a4c76e602948342b1dd36ad3d9f36b7da7d96625b443dc10,,,,,,pending,
review_067,bsds_25098,0,0,0,256,256,images/review_067.png,b08028edd3f93264923177d6d622e3c269e5b6c59e27903aaf00dc71699b695c,,,,,,pending,
review_068,bsds_253036,0,0,0,256,256,images/review_068.png,5d620f8a36a5da139d02d3719832f8f547d24da50df6b4425c682e6c5635a33d,,,,,,pending,
review_069,bsds_253036,3,256,256,225,65,images/review_069.png,d7f69af81f30239562e177198cf09fa88a01701a2b3224074a5f121da9c60c71,,,,,,pending,
review_070,bsds_254054,1,256,0,65,256,images/review_070.png,9f2b56a1064583298dbf1dda6c48c4c90f0effa86d7fac5a917b40137dd6992e,,,,,,pending,
review_071,bsds_254054,0,0,0,256,256,images/review_071.png,19078da456509ba44e70460fc371e7ebec9ce1b199532dca01e370f643b170b3,,,,,,pending,
review_072,bsds_27059,2,0,256,256,225,images/review_072.png,9e06263abb2c7abfcf395a1f606127716913be55d99051fc20d5eb56953a23bf,,,,,,pending,
review_073,bsds_27059,1,256,0,65,256,images/review_073.png,c2830574ef0e1d40e9edc87a01e3b426db52229d8a697e0598921654cee059d2,,,,,,pending,
review_074,bsds_271008,2,0,256,256,65,images/review_074.png,39966e5a51f817cc73c662386d783e7894fcf09213844613bc4d5f0df7d0c4af,,,,,,pending,
review_075,bsds_271008,3,256,256,225,65,images/review_075.png,05fe7132a974372317509075cfe8ad6c872b11a600fadf036793fad5851f9010,,,,,,pending,
review_076,bsds_274007,1,256,0,65,256,images/review_076.png,02b589276ae98a9838d2e75c3a941178bbdd1bd2e0d723be5098f3e69075b877,,,,,,pending,
review_077,bsds_274007,2,0,256,256,225,images/review_077.png,008449144ecb650edd2876c7525f240662713998e0a69f0aae40ccc3e8b9e609,,,,,,pending,
review_078,bsds_286092,0,0,0,256,256,images/review_078.png,c62500f28426f98f1957d30e088399995849f14b82e07df001f3cd3ca037f791,,,,,,pending,
review_079,bsds_286092,1,256,0,225,256,images/review_079.png,f09fbcf0dfbef0b0f0259d9dbcafd0fad9b19ba508d8629f70369ef38b7c5007,,,,,,pending,
review_080,bsds_309004,1,256,0,225,256,images/review_080.png,a70bdd3b87f4db91c971835b169ad70a830d7fba64fe5141badbaae203fe0a1e,,,,,,pending,
review_081,bsds_309004,0,0,0,256,256,images/review_081.png,1e6c5662c76682f9bdbd96724b9ed8fc093d7c9704069c57fe8afbb3bf4428f0,,,,,,pending,
review_082,bsds_311081,0,0,0,256,256,images/review_082.png,3581c6c9d5f6be0c787213414c35330a0e5e64396877a4c886228b98e55141fd,,,,,,pending,
review_083,bsds_311081,3,256,256,65,225,images/review_083.png,e2b5c860e292d500b0902632f0aacb99aae55969f8a621d5a0aff9228ed8a5c7,,,,,,pending,
review_084,bsds_314016,0,0,0,256,256,images/review_084.png,94ff51680ce8f21916d4353c7618f664ebaecf305c05204577766f018c7afd94,,,,,,pending,
review_085,bsds_314016,3,256,256,225,65,images/review_085.png,d7ac83cc57bd427f3db93915e9f9101c0c6ad704a71bc6eed4cd7c63ed680c15,,,,,,pending,
review_086,bsds_323016,0,0,0,256,256,images/review_086.png,9ae027c0735f3985e1f5aa97db298f7156797ec539480c811c376e1df032076a,,,,,,pending,
review_087,bsds_323016,1,256,0,225,256,images/review_087.png,3c861bdd40bd7758bc07d55da7950317e90020a88a03ef4580c45ee782c0ba9b,,,,,,pending,
review_088,bsds_368078,0,0,0,256,256,images/review_088.png,89f5da5cf12bb63b7277cf0079b95a1a021fea53197b6f09be86a4534f5c4041,,,,,,pending,
review_089,bsds_368078,1,256,0,65,256,images/review_089.png,c7832e38c83e9e1094f10d17de43b61f46cfc240cfab5780d0b3b8041fa7b558,,,,,,pending,
review_090,bsds_374020,2,0,256,256,65,images/review_090.png,b04c9be04b29b192f2b5dd6f29ca0102265833a8793000bbfca7ef831d2c007b,,,,,,pending,
review_091,bsds_374020,1,256,0,225,256,images/review_091.png,f5b981011d38a51f847f038dfdac16c057134d03b0842cedd91f7230eead6d11,,,,,,pending,
review_092,bsds_385028,3,256,256,225,65,images/review_092.png,9d195a8971ee1911aad9015dde9253cc1a3cebb72360ee7ea3883a62c04941e9,,,,,,pending,
review_093,bsds_385028,0,0,0,256,256,images/review_093.png,1071d65bfea776b65a0147e5359f0306b121db5d8eaec068b1a2c7f88cce8457,,,,,,pending,
review_094,bsds_41004,0,0,0,256,256,images/review_094.png,d9cf49c925f1a8ececd469038c4efdaaaf7ac0287ca3db092dbb3c186c3761cc,,,,,,pending,
review_095,bsds_41004,3,256,256,225,65,images/review_095.png,67432e736fd3027648903bd02a841ad5179382b101934235110775fdf84405d0,,,,,,pending,
review_096,bsds_45077,1,256,0,225,256,images/review_096.png,615f6d0824e2cbab318cc478c1ba548d9599de7292d379d4b337edc2f7508864,,,,,,pending,
review_097,bsds_45077,2,0,256,256,65,images/review_097.png,4425cba85b803d319d395e37377c7c42afb3f16bd7fab89fcd4962e2280d20ad,,,,,,pending,
review_098,bsds_46076,1,256,0,65,256,images/review_098.png,85897f27080fbe5a753eb1235fab9a4258654e5a9cf82e9c2c3533be110cad83,,,,,,pending,
review_099,bsds_46076,3,256,256,65,225,images/review_099.png,b76ab7c0042e3ee89f77bb62c7f60e0a3deafd6e4c3f19de71b8d528b1bf77dd,,,,,,pending,
review_100,bsds_59078,1,256,0,225,256,images/review_100.png,f30fe47ac8685576f48d1fb944ce6f22b7a67547dcfca402170612a505914cf5,,,,,,pending,
review_101,bsds_59078,0,0,0,256,256,images/review_101.png,dee268e2ff7707f95dbfdc16a6f51b71f15dad96b175dd31edf0ebfb24ec997c,,,,,,pending,
review_102,bsds_61086,2,0,256,256,225,images/review_102.png,4f0be39eff3295582f1fdbe903377bb49904c8e9006d41db81ba1d567a6b4bf8,,,,,,pending,
review_103,bsds_61086,1,256,0,65,256,images/review_103.png,9f1eea1e6af7963894b8378d2a351eed8eada2fa988b127cdd79196a6b94ba0d,,,,,,pending,
review_104,bsds_76002,1,256,0,225,256,images/review_104.png,ec91ee73489c5c60783019e92f08696211bbf9cc65f750e738241390077c0893,,,,,,pending,
review_105,bsds_76002,3,256,256,225,65,images/review_105.png,633aa8a4e74e21572e7f095c426d044d618f6280b933b6046a9a9ed4e2fb9528,,,,,,pending,
review_106,bsds_80099,1,256,0,225,256,images/review_106.png,d0b7a289175c95e5a5603db73363a6473c569a5e09827c3a8e791109ab11c517,,,,,,pending,
review_107,bsds_80099,2,0,256,256,65,images/review_107.png,d2031eef21fb96ce48372ad76e09a3977e272125783f26fa1d562b3762a22086,,,,,,pending,
review_108,bsds_92059,3,256,256,65,225,images/review_108.png,d037c38e3ee85197a1c7ec676588bfb3b8e94d89b4ff76d5b225c7df3567a2b7,,,,,,pending,
review_109,bsds_92059,0,0,0,256,256,images/review_109.png,6aca7572a51d3c4a775c2a636800cf403d488399db7625a70928c43d09305f96,,,,,,pending,
