image_id,patch_id,x,y,patch_index,psnr_input,psnr_hypir,gain,label
case1,case1_y0000_x3072,3072,0,24,39.26008128334522,35.49018820143638,-3.7698930819088403,BAD
case1,case1_y0000_x3200,3200,0,25,38.620914997012434,35.23804473386048,-3.3828702631519576,BAD
case1,case1_y0000_x3328,3328,0,26,39.65344672692642,35.44137577470889,-4.21207095221753,BAD
case1,case1_y0000_x3456,3456,0,27,39.87423016853324,35.37620417817419,-4.4980259903590465,BAD
case1,case1_y0000_x3584,3584,0,28,40.80613057885831,35.86798317888648,-4.938147399971825,BAD
case1,case1_y0000_x3712,3712,0,29,41.995508475409586,36.50105857164836,-5.494449903761229,BAD
case1,case1_y0000_x3840,3840,0,30,42.570109653925996,36.71197915414025,-5.858130499785744,BAD
case1,case1_y0128_x0000,0,128,31,28.17312650331852,25.136438735923146,-3.0366877673953745,BAD
case1,case1_y0128_x0128,128,128,32,26.63195709404114,23.726933014700048,-2.905024079341093,BAD
case1,case1_y0128_x0256,256,128,33,26.908183724627964,22.48384973529442,-4.424333989333544,BAD
case1,case1_y0128_x0384,384,128,34,25.407394321447846,19.221733922696767,-6.185660398751079,BAD
case1,case1_y0128_x0512,512,128,35,25.765663578938913,20.03931699363553,-5.726346585303382,BAD
case1,case1_y0128_x0640,640,128,36,28.76866441744812,25.28679187608838,-3.481872541359742,BAD
case1,case1_y0128_x0768,768,128,37,28.0275394094609,25.32310526761202,-2.7044341418488784,BAD
case1,case1_y0128_x0896,896,128,38,28.750999813700112,26.73437999248756,-2.016619821212551,BAD
case1,case1_y0128_x1024,1024,128,39,28.829089701700575,26.826054888335303,-2.0030348133652716,BAD
case1,case1_y0128_x1152,1152,128,40,28.90359880266646,26.848035738816,-2.0555630638504567,BAD
case1,case1_y0128_x1280,1280,128,41,30.741117368943303,28.958043421243257,-1.7830739477000463,BAD
case1,case1_y0128_x1408,1408,128,42,31.57754676027257,30.38376474000783,-1.193782020264738,BAD
case1,case1_y0128_x1536,1536,128,43,34.62194606013109,33.3217655111745,-1.3001805489565896,BAD
case1,case1_y0128_x1664,1664,128,44,43.34596858744681,40.14262697198906,-3.2033416154577523,BAD
case1,case1_y0128_x1792,1792,128,45,46.464845497165456,38.91949728810736,-7.545348209058098,BAD
case1,case1_y0128_x1920,1920,128,46,43.53148277017695,36.79178396747031,-6.739698802706641,BAD
case1,case1_y0128_x2048,2048,128,47,41.25399912120032,36.149280433763565,-5.104718687436758,BAD
case1,case1_y0128_x2176,2176,128,48,40.788318702709276,36.04558538816,-4.742733314549277,BAD
case1,case1_y0128_x2304,2304,128,49,40.033921017603305,36.01471992203556,-4.019201095567745,BAD
case1,case1_y0128_x2432,2432,128,50,39.20558737309703,35.90445059167826,-3.3011367814187693,BAD
case1,case1_y0128_x2560,2560,128,51,40.64091465660182,36.40329159361493,-4.237623062986891,BAD
case1,case1_y0128_x2688,2688,128,52,43.87183701111435,37.30812262518998,-6.563714385924371,BAD
case1,case1_y0128_x2816,2816,128,53,42.89389266484043,36.89030525585298,-6.00358740898745,BAD
case1,case1_y0128_x2944,2944,128,54,42.96240670636393,36.49215681866143,-6.470249887702501,BAD
case1,case1_y0128_x3072,3072,128,55,43.98431507844849,36.472120081761766,-7.512194996686723,BAD
case1,case1_y0128_x3200,3200,128,56,43.112402140616936,36.365740202735914,-6.746661937881022,BAD
case1,case1_y0128_x3328,3328,128,57,43.88876283072876,36.393266925992414,-7.4954959047363445,BAD
case1,case1_y0128_x3456,3456,128,58,44.44651294850793,36.384052745528194,-8.062460202979736,BAD
case1,case1_y0128_x3584,3584,128,59,44.575824000292116,36.77220454121916,-7.803619459072955,BAD
case1,case1_y0128_x3712,3712,128,60,44.90012822139753,37.16057971738262,-7.739548504014913,BAD
case1,case1_y0128_x3840,3840,128,61,45.96351055387586,37.31293956947602,-8.650570984399835,BAD
case1,case1_y0256_x0000,0,256,62,28.541137632475394,25.450283031293715,-3.090854601181679,BAD
case1,case1_y0256_x0128,128,256,63,27.121634829432743,24.264437827216938,-2.8571970022158055,BAD
case1,case1_y0256_x0256,256,256,64,27.3995086263278,23.190369783574447,-4.2091388427533545,BAD
case1,case1_y0256_x0384,384,256,65,26.08268731558303,19.98903314523321,-6.093654170349819,BAD
case1,case1_y0256_x0512,512,256,66,26.513150842603075,20.775096178949028,-5.738054663654047,BAD
case1,case1_y0256_x0640,640,256,67,29.692528008465615,26.21872385979517,-3.473804148670446,BAD
case1,case1_y0256_x0768,768,256,68,29.276836324919365,26.575161060639367,-2.7016752642799986,BAD
case1,case1_y0256_x0896,896,256,69,30.263748740258496,28.118637940505835,-2.1451107997526613,BAD
case1,case1_y0256_x1024,1024,256,70,29.858601705574333,27.961498129744186,-1.8971035758301475,BAD
case1,case1_y0256_x1152,1152,256,71,29.909241979414208,28.011500679057395,-1.897741300356813,BAD
case1,case1_y0256_x1280,1280,256,72,32.8782335001509,30.97379406872982,-1.9044394314210784,BAD
case1,case1_y0256_x1408,1408,256,73,32.95775855933712,31.48979988695944,-1.4679586723776836,BAD
case1,case1_y0256_x1536,1536,256,74,34.57312607430804,33.27545853475284,-1.2976675395551993,BAD
case1,case1_y0256_x1664,1664,256,75,41.363067718741334,39.5003791430772,-1.8626885756641371,BAD
case1,case1_y0256_x1792,1792,256,76,43.253599647727356,38.99478186903242,-4.258817778694933,BAD
case1,case1_y0256_x1920,1920,256,77,43.097618572982626,37.71554959020128,-5.382068982781348,BAD
case1,case1_y0256_x2048,2048,256,78,42.490156155220625,37.55854596100316,-4.931610194217463,BAD
case1,case1_y0256_x2176,2176,256,79,42.972949105278985,37.78891801073175,-5.184031094547237,BAD
case1,case1_y0256_x2304,2304,256,80,42.352148623656696,37.78958365998367,-4.562564963673026,BAD
case1,case1_y0256_x2432,2432,256,81,41.14463045881925,37.55152891994834,-3.5931015388709113,BAD
case1,case1_y0256_x2560,2560,256,82,41.166603132214156,37.555331070104536,-3.61127206210962,BAD
case1,case1_y0256_x2688,2688,256,83,41.886265581445684,37.914835465849876,-3.9714301155958083,BAD
case1,case1_y0256_x2816,2816,256,84,42.28220648121071,38.025554530317535,-4.256651950893172,BAD
case1,case1_y0256_x2944,2944,256,85,43.45806154960843,38.10742981017885,-5.350631739429581,BAD
case1,case1_y0256_x3072,3072,256,86,43.32321538781281,37.921892653212666,-5.401322734600143,BAD
case1,case1_y0256_x3200,3200,256,87,42.40642446334695,37.734729473411974,-4.671694989934977,BAD
case1,case1_y0256_x3328,3328,256,88,42.701694457415435,37.79102148382114,-4.910672973594295,BAD
case1,case1_y0256_x3456,3456,256,89,43.14758026246292,37.75509839867397,-5.3924818637889445,BAD
case1,case1_y0256_x3584,3584,256,90,43.33812181598571,37.91588227616604,-5.422239539819671,BAD
case1,case1_y0256_x3712,3712,256,91,43.249405286384885,37.965588191306786,-5.283817095078099,BAD
case1,case1_y0256_x3840,3840,256,92,44.20492311967248,38.002558752618285,-6.202364367054194,BAD
case1,case1_y0384_x0000,0,384,93,30.214827968919703,28.616896529652198,-1.597931439267505,BAD
case1,case1_y0384_x0128,128,384,94,29.82695817116263,28.152565919115254,-1.674392252047376,BAD
case1,case1_y0384_x0256,256,384,95,29.472864506957265,27.502058437628442,-1.9708060693288232,BAD
case1,case1_y0384_x0384,384,384,96,30.323197807539152,27.808619420433995,-2.514578387105157,BAD
case1,case1_y0384_x0512,512,384,97,33.54129224874464,30.78809875603589,-2.75319349270875,BAD
case1,case1_y0384_x0640,640,384,98,35.62152649808689,33.80923250199731,-1.8122939960895792,BAD
case1,case1_y0384_x0768,768,384,99,30.28287629284369,28.294523166909094,-1.9883531259345943,BAD
case1,case1_y0384_x0896,896,384,100,28.508136697430437,26.24895444932699,-2.2591822481034463,BAD
case1,case1_y0384_x1024,1024,384,101,28.57685139883783,25.343872075851653,-3.2329793229861785,BAD
case1,case1_y0384_x1152,1152,384,102,28.25351845679161,24.367942825612626,-3.885575631178984,BAD
case1,case1_y0384_x1280,1280,384,103,28.789853819102408,25.626931463630495,-3.1629223554719132,BAD
case1,case1_y0384_x1408,1408,384,104,29.93755466433552,28.24015598309067,-1.6973986812448487,BAD
case1,case1_y0384_x1536,1536,384,105,29.252794486444486,28.52941640979875,-0.7233780766457372,BAD
case1,case1_y0384_x1664,1664,384,106,29.02469801397544,28.966623726067162,-0.05807428790827629,BAD
case1,case1_y0384_x1792,1792,384,107,28.35789061797626,27.700052794908,-0.6578378230682596,BAD
case1,case1_y0384_x1920,1920,384,108,28.311158179960472,27.34315643707168,-0.9680017428887915,BAD
case1,case1_y0384_x2048,2048,384,109,29.004072776048872,27.853203131658915,-1.1508696443899566,BAD
case1,case1_y0384_x2176,2176,384,110,28.194633940461294,27.038538347699102,-1.1560955927621919,BAD
case1,case1_y0384_x2304,2304,384,111,27.80844283331172,26.775382056797923,-1.0330607765137962,BAD
case1,case1_y0384_x2432,2432,384,112,27.166728444615625,26.009233031925675,-1.1574954126899506,BAD
case1,case1_y0384_x2560,2560,384,113,27.452841829388035,25.452845969093254,-1.9999958602947814,BAD
case1,case1_y0384_x2688,2688,384,114,28.782780560818033,25.87215177663809,-2.9106287841799414,BAD
case1,case1_y0384_x2816,2816,384,115,27.37271821448171,25.361878875395377,-2.010839339086335,BAD
case1,case1_y0384_x2944,2944,384,116,28.369536560761514,26.752908566290863,-1.616627994470651,BAD
case1,case1_y0384_x3072,3072,384,117,35.01923538224075,32.92806524425319,-2.091170137987561,BAD
case1,case1_y0384_x3200,3200,384,118,31.27312753435541,30.558478163795005,-0.7146493705604051,BAD
case1,case1_y0384_x3328,3328,384,119,28.35807565907885,27.156730036484102,-1.2013456225947472,BAD
case1,case1_y0384_x3456,3456,384,120,27.021206829973533,25.487678977763977,-1.5335278522095557,BAD
case1,case1_y0384_x3584,3584,384,121,26.49454565804853,24.943469929137756,-1.5510757289107744,BAD
case1,case1_y0384_x3712,3712,384,122,27.56189848475278,25.895531605595913,-1.6663668791568682,BAD
case1,case1_y0384_x3840,3840,384,123,27.934509493078764,26.19372386537767,-1.7407856277010936,BAD
case1,case1_y0512_x0000,0,512,124,26.83621049051196,25.118138967298638,-1.7180715232133217,BAD
case1,case1_y0512_x0128,128,512,125,26.38054658555179,24.662550902283673,-1.7179956832681178,BAD
case1,case1_y0512_x0256,256,512,126,26.67612067207253,24.72208427562878,-1.9540363964437475,BAD
case1,case1_y0512_x0384,384,512,127,27.827933251426856,25.174841262969537,-2.6530919884573194,BAD
case1,case1_y0512_x0512,512,512,128,29.700911601072555,26.941772019292376,-2.759139581780179,BAD
case1,case1_y0512_x0640,640,512,129,32.343490847478705,29.789992286542546,-2.553498560936159,BAD
case1,case1_y0512_x0768,768,512,130,27.817222427261154,24.181417580292532,-3.6358048469686217,BAD
case1,case1_y0512_x0896,896,512,131,25.91607951641137,21.94178766783873,-3.974291848572637,BAD
case1,case1_y0512_x1024,1024,512,132,25.81403125658509,21.37250294026977,-4.4415283163153205,BAD
case1,case1_y0512_x1152,1152,512,133,25.586377354536097,20.99993009645953,-4.586447258076568,BAD
case1,case1_y0512_x1280,1280,512,134,26.46206722885391,22.869561003512928,-3.5925062253409834,BAD
case1,case1_y0512_x1408,1408,512,135,27.571567064868354,25.910207841518755,-1.6613592233495993,BAD
case1,case1_y0512_x1536,1536,512,136,27.187113457641196,26.192434412381257,-0.9946790452599394,BAD
case1,case1_y0512_x1664,1664,512,137,27.62611634711174,27.242480149708026,-0.3836361974037139,BAD
case1,case1_y0512_x1792,1792,512,138,26.670035124079874,25.75344104477367,-0.9165940793062042,BAD
case1,case1_y0512_x1920,1920,512,139,26.220674198857754,24.998664257951965,-1.2220099409057887,BAD
case1,case1_y0512_x2048,2048,512,140,26.815753263888666,25.413795702476285,-1.401957561412381,BAD
case1,case1_y0512_x2176,2176,512,141,26.43935099423517,24.98546821326351,-1.4538827809716608,BAD
case1,case1_y0512_x2304,2304,512,142,26.368100529243414,25.133466459650542,-1.2346340695928717,BAD
case1,case1_y0512_x2432,2432,512,143,25.45964826655109,24.326866993626275,-1.132781272924813,BAD
case1,case1_y0512_x2560,2560,512,144,25.740183149445947,23.64852873562784,-2.091654413818109,BAD
case1,case1_y0512_x2688,2688,512,145,27.203888437119886,23.870078486177814,-3.333809950942072,BAD
case1,case1_y0512_x2816,2816,512,146,25.8686393101682,23.528800316360176,-2.339838993808023,BAD
case1,case1_y0512_x2944,2944,512,147,26.71506474166922,24.989304243984286,-1.7257604976849343,BAD
case1,case1_y0512_x3072,3072,512,148,32.98392029148572,30.921825127028768,-2.0620951644569487,BAD
case1,case1_y0512_x3200,3200,512,149,30.677614551324965,29.74181459880537,-0.935799952519595,BAD
case1,case1_y0512_x3328,3328,512,150,27.43735393040943,26.020729954547832,-1.4166239758615973,BAD
case1,case1_y0512_x3456,3456,512,151,25.94797570539104,24.205761822849126,-1.7422138825419147,BAD
case1,case1_y0512_x3584,3584,512,152,25.476576148539674,23.859978573307195,-1.616597575232479,BAD
case1,case1_y0512_x3712,3712,512,153,26.415435452302162,24.703533651913524,-1.7119018003886382,BAD
case1,case1_y0512_x3840,3840,512,154,26.86343440167645,25.05570764869729,-1.8077267529791605,BAD
case1,case1_y0640_x0000,0,640,155,29.341003010804776,27.436344034922154,-1.9046589758826222,BAD
case1,case1_y0640_x0128,128,640,156,28.83999637957928,27.019069079179125,-1.8209273004001538,BAD
case1,case1_y0640_x0256,256,640,157,29.688260699062926,27.70177684681514,-1.9864838522477868,BAD
case1,case1_y0640_x0384,384,640,158,31.160719856512276,28.302237173443366,-2.8584826830689103,BAD
case1,case1_y0640_x0512,512,640,159,31.73349528676927,28.904909862030266,-2.8285854247390034,BAD
case1,case1_y0640_x0640,640,640,160,34.52066597889325,31.37457800416246,-3.14608797473079,BAD
case1,case1_y0640_x0768,768,640,161,31.183716889587995,26.16454168567242,-5.019175203915577,BAD
case1,case1_y0640_x0896,896,640,162,29.217756609394065,23.87929267832584,-5.338463931068226,BAD
case1,case1_y0640_x1024,1024,640,163,28.909438924725425,23.53309565893663,-5.376343265788794,BAD
case1,case1_y0640_x1152,1152,640,164,28.803248882479945,23.62337413253492,-5.179874749945025,BAD
case1,case1_y0640_x1280,1280,640,165,30.11933577580629,26.02175968731678,-4.097576088489511,BAD
case1,case1_y0640_x1408,1408,640,166,31.03143769978874,29.309479456055172,-1.7219582437335674,BAD
case1,case1_y0640_x1536,1536,640,167,30.912429458436577,29.5123503585226,-1.4000790999139774,BAD
case1,case1_y0640_x1664,1664,640,168,32.59239503501349,31.35468711863576,-1.2377079163777296,BAD
case1,case1_y0640_x1792,1792,640,169,31.28125853166336,29.688663209701996,-1.5925953219613653,BAD
case1,case1_y0640_x1920,1920,640,170,30.200065748268976,28.432268067932146,-1.7677976803368303,BAD
case1,case1_y0640_x2048,2048,640,171,30.613491773751683,28.697183610808988,-1.9163081629426948,BAD
case1,case1_y0640_x2176,2176,640,172,30.899179290622747,28.823318479284474,-2.0758608113382735,BAD
case1,case1_y0640_x2304,2304,640,173,31.527131630859785,29.722443543635826,-1.8046880872239583,BAD
case1,case1_y0640_x2432,2432,640,174,30.142399499387555,28.937982958794358,-1.204416540593197,BAD
case1,case1_y0640_x2560,2560,640,175,30.355164954421436,28.040318550052106,-2.31484640436933,BAD
case1,case1_y0640_x2688,2688,640,176,31.98000066926496,27.90818696696045,-4.07181370230451,BAD
case1,case1_y0640_x2816,2816,640,177,30.905611005926843,27.88390057789966,-3.021710428027184,BAD
case1,case1_y0640_x2944,2944,640,178,31.356488962258773,29.364375844333455,-1.9921131179253173,BAD
case1,case1_y0640_x3072,3072,640,179,35.89086782174675,33.97357641068136,-1.917291411065392,BAD
case1,case1_y0640_x3200,3200,640,180,36.99606236051853,35.31511720258256,-1.680945157935966,BAD
case1,case1_y0640_x3328,3328,640,181,33.66143989694267,31.598943060426382,-2.062496836516285,BAD
case1,case1_y0640_x3456,3456,640,182,32.011779553493355,29.64819905804143,-2.3635804954519237,BAD
case1,case1_y0640_x3584,3584,640,183,31.78325386596611,29.915295986621082,-1.8679578793450275,BAD
case1,case1_y0640_x3712,3712,640,184,32.165243701722794,30.321051305504216,-1.8441923962185776,BAD
case1,case1_y0640_x3840,3840,640,185,32.85521754832012,30.79991016303428,-2.0553073852858397,BAD
case1,case1_y0768_x0000,0,768,186,45.60633915006066,40.133737031512695,-5.472602118547968,BAD
case1,case1_y0768_x0128,128,768,187,43.25495793755038,39.43168344353201,-3.8232744940183707,BAD
case1,case1_y0768_x0256,256,768,188,42.40273094262725,38.854094880918915,-3.5486360617083363,BAD
case1,case1_y0768_x0384,384,768,189,43.674803696360016,39.008519127979284,-4.666284568380732,BAD
case1,case1_y0768_x0512,512,768,190,43.67608650621652,39.20467081355345,-4.471415692663072,BAD
case1,case1_y0768_x0640,640,768,191,44.04483729865217,39.74745456138002,-4.297382737272152,BAD
case1,case1_y0768_x0768,768,768,192,43.91500799914638,40.50066321082201,-3.414344788324371,BAD
case1,case1_y0768_x0896,896,768,193,43.17522642880345,40.996485102202186,-2.178741326601262,BAD
case1,case1_y0768_x1024,1024,768,194,43.49000130917531,41.42957923665253,-2.0604220725227833,BAD
case1,case1_y0768_x1152,1152,768,195,44.81954037018496,41.87263476804935,-2.946905602135608,BAD
case1,case1_y0768_x1280,1280,768,196,46.357362350792066,41.14868683243784,-5.208675518354227,BAD
case1,case1_y0768_x1408,1408,768,197,45.1043862742885,40.14181261893604,-4.962573655352465,BAD
case1,case1_y0768_x1536,1536,768,198,42.033576460719004,39.53110259838348,-2.5024738623355276,BAD
case1,case1_y0768_x1664,1664,768,199,42.64821736436211,39.61704363355817,-3.0311737308039426,BAD
case1,case1_y0768_x1792,1792,768,200,45.87791380789931,40.050671172584195,-5.827242635315116,BAD
case1,case1_y0768_x1920,1920,768,201,44.562370524618245,39.67379699623668,-4.8885735283815634,BAD
case1,case1_y0768_x2048,2048,768,202,43.90214923921691,39.170211414183065,-4.731937825033846,BAD
case1,case1_y0768_x2176,2176,768,203,42.81343724488103,38.90106622949321,-3.9123710153878193,BAD
case1,case1_y0768_x2304,2304,768,204,44.05285413446258,39.88556756271016,-4.16728657175242,BAD
case1,case1_y0768_x2432,2432,768,205,45.59697409965288,40.834027415502526,-4.762946684150357,BAD
case1,case1_y0768_x2560,2560,768,206,43.8553978130848,40.89474941278105,-2.9606484003037465,BAD
case1,case1_y0768_x2688,2688,768,207,44.89008255582216,41.83364978476973,-3.056432771052428,BAD
case1,case1_y0768_x2816,2816,768,208,45.34880742200717,41.63353261369543,-3.71527480831174,BAD
case1,case1_y0768_x2944,2944,768,209,43.939216016450644,40.866087839601484,-3.07312817684916,BAD
case1,case1_y0768_x3072,3072,768,210,42.72127967475592,40.62373497475619,-2.0975446999997303,BAD
case1,case1_y0768_x3200,3200,768,211,40.60017847451496,39.774048813461896,-0.8261296610530664,BAD
case1,case1_y0768_x3328,3328,768,212,40.24128100815257,39.17107301353026,-1.070207994622308,BAD
case1,case1_y0768_x3456,3456,768,213,41.50657744504593,39.455747982566464,-2.050829462479463,BAD
case1,case1_y0768_x3584,3584,768,214,41.702009802724774,40.42125103102849,-1.2807587716962843,BAD
case1,case1_y0768_x3712,3712,768,215,41.71725307148189,41.2607104168772,-0.45654265460468935,BAD
case1,case1_y0768_x3840,3840,768,216,42.63418860771278,41.74046980289564,-0.8937188048171407,BAD
case1,case1_y0896_x0000,0,896,217,42.66964105787263,39.09549638745579,-3.5741446704168425,BAD
case1,case1_y0896_x0128,128,896,218,43.108668516696724,39.29976339391925,-3.8089051227774746,BAD
case1,case1_y0896_x0256,256,896,219,42.66355222395898,38.741575749092135,-3.9219764748668453,BAD
case1,case1_y0896_x0384,384,896,220,43.92509435467005,38.61698003480856,-5.308114319861488,BAD
case1,case1_y0896_x0512,512,896,221,44.75080526126902,38.94979930704251,-5.801005954226511,BAD
case1,case1_y0896_x0640,640,896,222,45.82203636435893,39.59995490563746,-6.222081458721469,BAD
case1,case1_y0896_x0768,768,896,223,45.295943571681924,40.023016560480364,-5.27292701120156,BAD
case1,case1_y0896_x0896,896,896,224,44.33627445868197,40.39282953157708,-3.943444927104892,BAD
case1,case1_y0896_x1024,1024,896,225,44.27170977974857,40.08079002460923,-4.1909197551393405,BAD
case1,case1_y0896_x1152,1152,896,226,44.9273829513362,39.903587769424405,-5.023795181911794,BAD
case1,case1_y0896_x1280,1280,896,227,45.10869087984962,40.06645122725179,-5.042239652597829,BAD
case1,case1_y0896_x1408,1408,896,228,45.57767851322467,40.1788937098229,-5.398784803401767,BAD
case1,case1_y0896_x1536,1536,896,229,44.80130756135981,40.04746914047018,-4.753838420889636,BAD
case1,case1_y0896_x1664,1664,896,230,44.09589141170098,40.21689759715005,-3.878993814550931,BAD
case1,case1_y0896_x1792,1792,896,231,46.229117270319335,40.33048963750329,-5.898627632816044,BAD
case1,case1_y0896_x1920,1920,896,232,44.647337380606125,39.52692389516307,-5.120413485443052,BAD
case1,case1_y0896_x2048,2048,896,233,43.74006390407401,39.05159887368032,-4.688465030393694,BAD
case1,case1_y0896_x2176,2176,896,234,44.12862297540591,38.81187470142987,-5.316748273976039,BAD
case1,case1_y0896_x2304,2304,896,235,46.06159661863203,40.06925997490471,-5.99233664372732,BAD
case1,case1_y0896_x2432,2432,896,236,46.85332677726496,41.54652815636841,-5.306798620896551,BAD
case1,case1_y0896_x2560,2560,896,237,44.43016420974605,41.62971420515802,-2.8004500045880363,BAD
case1,case1_y0896_x2688,2688,896,238,44.825635023128314,42.53458642042722,-2.291048602701096,BAD
case1,case1_y0896_x2816,2816,896,239,46.41961052490601,42.23894689386477,-4.1806636310412415,BAD
case1,case1_y0896_x2944,2944,896,240,43.885362412589906,40.752343001840515,-3.133019410749391,BAD
case1,case1_y0896_x3072,3072,896,241,42.38884190565819,40.25009179392776,-2.138750111730431,BAD
case1,case1_y0896_x3200,3200,896,242,42.23625706842333,40.449196671448846,-1.787060396974482,BAD
case1,case1_y0896_x3328,3328,896,243,42.21726536192956,40.022760434945596,-2.194504926983967,BAD
case1,case1_y0896_x3456,3456,896,244,42.86295501525886,39.59801281860463,-3.264942196654232,BAD
case1,case1_y0896_x3584,3584,896,245,42.751784225910434,40.742022009551036,-2.0097622163593982,BAD
case1,case1_y0896_x3712,3712,896,246,43.81237113327196,42.906790080432316,-0.9055810528396435,BAD
case1,case1_y0896_x3840,3840,896,247,45.01459487341175,43.5001349453734,-1.514459928038356,BAD
case1,case1_y1024_x0000,0,1024,248,37.33091028366483,35.34393846993826,-1.9869718137265693,BAD
case1,case1_y1024_x0128,128,1024,249,37.79472034828947,35.97138444697593,-1.8233359013135342,BAD
case1,case1_y1024_x0256,256,1024,250,38.843371152767745,36.32602733312226,-2.5173438196454825,BAD
case1,case1_y1024_x0384,384,1024,251,42.62365940666911,37.850044238278976,-4.773615168390137,BAD
case1,case1_y1024_x0512,512,1024,252,39.327381089268954,35.33648797242893,-3.9908931168400272,BAD
case1,case1_y1024_x0640,640,1024,253,37.005613868193834,33.831877827200344,-3.1737360409934894,BAD
case1,case1_y1024_x0768,768,1024,254,36.076674540347355,33.80517900328109,-2.271495537066265,BAD
case1,case1_y1024_x0896,896,1024,255,34.82670324146097,33.02019911014232,-1.806504131318647,BAD
case1,case1_y1024_x1024,1024,1024,256,34.580401645352666,32.714090495972464,-1.866311149380202,BAD
case1,case1_y1024_x1152,1152,1024,257,33.16580767707697,31.284722599298668,-1.8810850777783017,BAD
case1,case1_y1024_x1280,1280,1024,258,33.583191384529705,31.107458273251595,-2.4757331112781102,BAD
case1,case1_y1024_x1408,1408,1024,259,34.94284383684883,31.128607936705404,-3.8142359001434265,BAD
case1,case1_y1024_x1536,1536,1024,260,33.927890677593055,31.228354165153156,-2.6995365124398987,BAD
case1,case1_y1024_x1664,1664,1024,261,33.52161743909447,31.927748600640335,-1.593868838454135,BAD
case1,case1_y1024_x1792,1792,1024,262,32.39019877263243,30.64461883629906,-1.745579936333371,BAD
case1,case1_y1024_x1920,1920,1024,263,34.03014859077479,32.18169351752505,-1.8484550732497453,BAD
case1,case1_y1024_x2048,2048,1024,264,40.92981228838272,37.81810002755932,-3.1117122608234027,BAD
case1,case1_y1024_x2176,2176,1024,265,34.512264417228295,31.603251902976787,-2.9090125142515078,BAD
case1,case1_y1024_x2304,2304,1024,266,32.42816454089234,30.628951637301107,-1.7992129035912328,BAD
case1,case1_y1024_x2432,2432,1024,267,32.07059803598722,31.84612436057252,-0.22447367541469632,BAD
case1,case1_y1024_x2560,2560,1024,268,31.965082628467115,31.007105393990205,-0.9579772344769104,BAD
case1,case1_y1024_x2688,2688,1024,269,32.75523664197581,31.127255316899152,-1.6279813250766608,BAD
case1,case1_y1024_x2816,2816,1024,270,30.918947582025986,26.26683691895995,-4.652110663066036,BAD
case1,case1_y1024_x2944,2944,1024,271,30.69945726979775,24.94038656815501,-5.759070701642742,BAD
case1,case1_y1024_x3072,3072,1024,272,31.74393461818648,27.75070589051063,-3.9932287276758487,BAD
case1,case1_y1024_x3200,3200,1024,273,30.727406850799074,29.648770191885127,-1.0786366589139469,BAD
case1,case1_y1024_x3328,3328,1024,274,30.130007276109207,28.49728921506817,-1.632718061041036,BAD
case1,case1_y1024_x3456,3456,1024,275,29.383820152600958,27.64535915175065,-1.7384610008503074,BAD
